"key","de","ar","et","it"
"A__COMB__STORE_IN_SMALL_STORAGE__A__WOMAN_HAIR_BRUNETTE",,,,
"A__COMB__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLACK",,,,
"A__COMB__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLONDE",,,,
"A__COMB__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BRUNETTE",,,,
"A__HAIR_BRUSH__BRUSH__ANY",,,,
"A__HAIR_BRUSH__BRUSH__A__WOMAN",,,,
"A__HAIR_BRUSH__BRUSH__A__WOMAN_HAIR_BLONDE",,,,
"A__HAIR_BRUSH__BRUSH__THE__WOMAN_HAIR_BLACK",,,,
"A__HAIR_BRUSH__BRUSH__THE__WOMAN_HAIR_BRUNETTE",,,,
"A__HAIR_BRUSH__MOVE__ANY",,,,
"A__HAIR_BRUSH__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"A__HAIR_BRUSH__STORE_IN_MEDIUM_STORAGE__A__WOMAN",,,,
"A__HAIR_BRUSH__STORE_IN_MEDIUM_STORAGE__A__WOMAN_HAIR_BLONDE",,,,
"A__HAIR_BRUSH__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLACK",,,,
"A__HAIR_BRUSH__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BRUNETTE",,,,
"A__HAIR_BRUSH__STORE_IN_SMALL_STORAGE__ANY",,,,
"A__HAIR_BRUSH__STORE_IN_SMALL_STORAGE__A__WOMAN",,,,
"A__HAIR_BRUSH__STORE_IN_SMALL_STORAGE__A__WOMAN_HAIR_BLONDE",,,,
"A__HAIR_BRUSH__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLACK",,,,
"A__HAIR_BRUSH__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BRUNETTE",,,,
"A__HAIR_DRYER__DRY__ANY",,,,
"A__HAIR_DRYER__DRY__A__WOMAN",,,,
"A__HAIR_DRYER__DRY__A__WOMAN_HAIR_BLONDE",,,,
"A__HAIR_DRYER__DRY__THE__WOMAN_HAIR_BLONDE",,,,
"A__HAIR_DRYER__DRY__THE__WOMAN_HAIR_BRUNETTE",,,,
"A__HAIR_DRYER__MOVE__ANY",,,,
"A__HAIR_DRYER__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"A__HAIR_DRYER__STORE_IN_MEDIUM_STORAGE__A__WOMAN",,,,
"A__HAIR_DRYER__STORE_IN_MEDIUM_STORAGE__A__WOMAN_HAIR_BLONDE",,,,
"A__HAIR_DRYER__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLONDE",,,,
"A__HAIR_DRYER__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BRUNETTE",,,,
"A__HAIR_DRYER__STORE_IN_SMALL_STORAGE__ANY",,,,
"A__HAIR_DRYER__STORE_IN_SMALL_STORAGE__A__WOMAN",,,,
"A__HAIR_DRYER__STORE_IN_SMALL_STORAGE__A__WOMAN_HAIR_BLONDE",,,,
"A__HAIR_DRYER__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLONDE",,,,
"A__HAIR_DRYER__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BRUNETTE",,,,
"A__HAT__HANG__ANY","Häng einen Hut auf!","علّق قبعة",,
"A__HAT__HANG__THE__COAT_RACK","Häng einen Hut an die Garderobe!","علّق قبعة على رف المعاطف!",,
"A__HAT__MOVE__ANY",,,,
"A__JEANS__DARK_BLUE__HANG__ANY","Häng eine dunkelblaue Jeans auf!","علق بنطلون جينز أزرق داكن!",,
"A__JEANS__DARK_BLUE__HANG__THE__CLOTHES_LINE","Häng eine dunkelblaue Jeans auf die Wäscheleine!","علق بنطلون جينز أزرق داكن على حبل الغسيل!",,
"A__JEANS__DARK_BLUE__MOVE__ANY",,,,
"A__JEANS__HANG__ANY","Häng Jeans auf!","علّق بنطلون جينز!",,
"A__JEANS__HANG__THE__CLOTHES_LINE",,,,
"A__JEANS__LIGHT_BLUE__HANG__ANY","Häng eine hellblaue Jeans auf!","علّق بنطلون جينز أزرق فاتح!",,
"A__JEANS__LIGHT_BLUE__HANG__THE__CLOTHES_LINE",,,,
"A__JEANS__LIGHT_BLUE__MOVE__ANY",,,,
"A__JEANS__MOVE__ANY",,,,
"A__SAKKO__HANG__ANY","Häng ein Sakko auf!","علّق سترة!",,
"A__SAKKO__HANG__THE__CLOTHES_LINE",,,,
"A__SAKKO__MOVE__ANY",,,,
"A__SHIRT__HANG__ANY","Häng ein Hemd auf!","علّق قميصاً!",,
"A__SHIRT__HANG__THE__CLOTHES_LINE",,,,
"A__SHIRT__MOVE__ANY",,,,
"A__TOY__DRY__ANY",,,,
"A__TOY__DRY__A__WOMAN",,,,
"A__TOY__DRY__A__WOMAN_HAIR_BRUNETTE",,,,
"A__TOY__MOVE__ANY",,,,
"A__TOY__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"A__TOY__STORE_IN_MEDIUM_STORAGE__A__WOMAN",,,,
"A__TOY__STORE_IN_MEDIUM_STORAGE__A__WOMAN_HAIR_BRUNETTE",,,,
"A__TOY__STORE_IN_SMALL_STORAGE__ANY",,,,
"A__TOY__STORE_IN_SMALL_STORAGE__A__WOMAN",,,,
"A__TOY__STORE_IN_SMALL_STORAGE__A__WOMAN_HAIR_BRUNETTE",,,,
"THE__BEANIE__HANG__ANY","Häng eine Mütze auf!",,,
"THE__BEANIE__HANG__THE__COAT_RACK",,,,
"THE__BEANIE__MOVE__ANY",,,,
"THE__CAT_FOOD__FEED__ANY",,,,
"THE__CAT_FOOD__FEED__A__CAT",,,,
"THE__CAT_FOOD__FEED__A__CAT__BLACK_WHITE",,,,
"THE__CAT_FOOD__FEED__A__CAT__SECONDARY_GREEN",,,,
"THE__CAT_FOOD__FEED__THE__CAT","Füttere die Katze!","أطعم القط!",,
"THE__CAT_FOOD__FEED__THE__CAT__GRAY","Füttere die graue Katze!","أطعم القط الرمادي!",,
"THE__CAT_FOOD__FEED__THE__CAT__SECONDARY_YELLOW",,,,
"THE__CAT_FOOD__MOVE__ANY",,,,
"THE__COAT__HANG__ANY",,,,
"THE__COAT__HANG__THE__COAT_RACK",,,,
"THE__COAT__MOVE__ANY",,,,
"THE__COMB__BRUSH__ANY",,,,
"THE__COMB__BRUSH__A__WOMAN",,,,
"THE__COMB__BRUSH__A__WOMAN_HAIR_BLONDE",,,,
"THE__COMB__BRUSH__A__WOMAN_HAIR_BRUNETTE",,,,
"THE__COMB__BRUSH__THE__WOMAN_HAIR_BLACK",,,,
"THE__COMB__BRUSH__THE__WOMAN_HAIR_BLONDE",,,,
"THE__COMB__BRUSH__THE__WOMAN_HAIR_BRUNETTE",,,,
"THE__COMB__MOVE__ANY",,,,
"THE__COMB__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"THE__COMB__STORE_IN_MEDIUM_STORAGE__A__WOMAN",,,,
"THE__COMB__STORE_IN_MEDIUM_STORAGE__A__WOMAN_HAIR_BLONDE",,,,
"THE__COMB__STORE_IN_MEDIUM_STORAGE__A__WOMAN_HAIR_BRUNETTE",,,,
"THE__COMB__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLACK",,,,
"THE__COMB__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLONDE",,,,
"THE__COMB__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BRUNETTE",,,,
"THE__COMB__STORE_IN_SMALL_STORAGE__ANY",,,,
"THE__COMB__STORE_IN_SMALL_STORAGE__A__WOMAN",,,,
"THE__COMB__STORE_IN_SMALL_STORAGE__A__WOMAN_HAIR_BLONDE",,,,
"THE__COMB__STORE_IN_SMALL_STORAGE__A__WOMAN_HAIR_BRUNETTE",,,,
"THE__COMB__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLACK",,,,
"THE__COMB__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLONDE",,,,
"THE__COMB__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BRUNETTE",,,,
"THE__DRESS__HANG__ANY","Häng das Kleid auf!","علّقي الفستان",,
"THE__DRESS__HANG__THE__CLOTHES_LINE",,,,
"THE__DRESS__MOVE__ANY",,,,
"THE__HAIR_BRUSH__BRUSH__A__WOMAN",,,,
"THE__HAIR_BRUSH__BRUSH__A__WOMAN_HAIR_BLACK",,,,
"THE__HAIR_BRUSH__BRUSH__A__WOMAN_HAIR_BLONDE",,,,
"THE__HAIR_BRUSH__BRUSH__A__WOMAN_HAIR_BRUNETTE",,,,
"THE__HAIR_BRUSH__STORE_IN_MEDIUM_STORAGE__A__WOMAN",,,,
"THE__HAIR_BRUSH__STORE_IN_MEDIUM_STORAGE__A__WOMAN_HAIR_BLACK",,,,
"THE__HAIR_BRUSH__STORE_IN_MEDIUM_STORAGE__A__WOMAN_HAIR_BLONDE",,,,
"THE__HAIR_BRUSH__STORE_IN_MEDIUM_STORAGE__A__WOMAN_HAIR_BRUNETTE",,,,
"THE__HAIR_BRUSH__STORE_IN_SMALL_STORAGE__A__WOMAN",,,,
"THE__HAIR_BRUSH__STORE_IN_SMALL_STORAGE__A__WOMAN_HAIR_BLACK",,,,
"THE__HAIR_BRUSH__STORE_IN_SMALL_STORAGE__A__WOMAN_HAIR_BLONDE",,,,
"THE__HAIR_BRUSH__STORE_IN_SMALL_STORAGE__A__WOMAN_HAIR_BRUNETTE",,,,
"THE__HAIR_DRYER__DRY__ANY",,,,
"THE__HAIR_DRYER__DRY__A__WOMAN",,,,
"THE__HAIR_DRYER__DRY__THE__WOMAN_HAIR_BLONDE",,,,
"THE__HAIR_DRYER__DRY__THE__WOMAN_HAIR_BRUNETTE",,,,
"THE__HAIR_DRYER__MOVE__ANY",,,,
"THE__HAIR_DRYER__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"THE__HAIR_DRYER__STORE_IN_MEDIUM_STORAGE__A__WOMAN",,,,
"THE__HAIR_DRYER__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLONDE",,,,
"THE__HAIR_DRYER__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BRUNETTE",,,,
"THE__HAIR_DRYER__STORE_IN_SMALL_STORAGE__ANY",,,,
"THE__HAIR_DRYER__STORE_IN_SMALL_STORAGE__A__WOMAN",,,,
"THE__HAIR_DRYER__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLONDE",,,,
"THE__HAIR_DRYER__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BRUNETTE",,,,
"THE__HAT__HANG__ANY","Häng den Hut auf!","ارفع قبعتك",,
"THE__HAT__HANG__THE__COAT_RACK",,,,
"THE__HAT__MOVE__ANY",,,,
"THE__JEANS__DARK_BLUE__HANG__ANY","Häng die dunkelblauen Jeans auf!","علّق الجينز الأزرق الداكن!",,
"THE__JEANS__DARK_BLUE__HANG__THE__CLOTHES_LINE",,,,
"THE__JEANS__DARK_BLUE__MOVE__ANY",,,,
"THE__JEANS__HANG__ANY",,,,
"THE__JEANS__HANG__THE__CLOTHES_LINE","Häng die Jeans auf!","!علّق الجينز",,
"THE__JEANS__LIGHT_BLUE__HANG__ANY","Häng die hellblauen Jeans auf!","علّق الجينز الأزرق الفاتح!",,
"THE__JEANS__LIGHT_BLUE__HANG__THE__CLOTHES_LINE",,,,
"THE__JEANS__LIGHT_BLUE__MOVE__ANY",,,,
"THE__JEANS__MOVE__ANY",,,,
"THE__KUFIYYEH__HANG__ANY","Häng das Kufiya auf!","علقوا الكوفية!",,
"THE__KUFIYYEH__HANG__THE__CLOTHES_LINE",,,,
"THE__KUFIYYEH__MOVE__ANY",,,,
"THE__SAKKO__HANG__ANY","Häng das Sakko auf!","علّق السترة!",,
"THE__SAKKO__HANG__THE__CLOTHES_LINE",,,,
"THE__SAKKO__MOVE__ANY",,,,
"THE__SHIRT__HANG__ANY",,,,
"THE__SHIRT__HANG__THE__CLOTHES_LINE","Häng das Hemd auf die Leine!","علّق القميص على الحبل!",,
"THE__SHIRT__MOVE__ANY",,,,
"THE__TOY__DRY__ANY",,,,
"THE__TOY__DRY__A__WOMAN",,,,
"THE__TOY__DRY__A__WOMAN_HAIR_BLACK",,,,
"THE__TOY__DRY__A__WOMAN_HAIR_BLONDE",,,,
"THE__TOY__DRY__THE__WOMAN_HAIR_BLACK",,,,
"THE__TOY__DRY__THE__WOMAN_HAIR_BRUNETTE",,,,
"THE__TOY__STORE_IN_MEDIUM_STORAGE__A__WOMAN",,,,
"THE__TOY__STORE_IN_MEDIUM_STORAGE__A__WOMAN_HAIR_BLACK",,,,
"THE__TOY__STORE_IN_MEDIUM_STORAGE__A__WOMAN_HAIR_BLONDE",,,,
"THE__TOY__STORE_IN_SMALL_STORAGE__A__WOMAN",,,,
"THE__TOY__STORE_IN_SMALL_STORAGE__A__WOMAN_HAIR_BLACK",,,,
"THE__TOY__STORE_IN_SMALL_STORAGE__A__WOMAN_HAIR_BLONDE",,,,
"ANY__STORE_IN_BIG_STORAGE__ANY",,,,
"ANY__STORE_IN_BIG_STORAGE__A__BUS",,,,
"ANY__STORE_IN_BIG_STORAGE__A__BUS__BLUE",,,,
"ANY__STORE_IN_BIG_STORAGE__A__BUS__RED_AND_YELLOW",,,,
"ANY__STORE_IN_BIG_STORAGE__THE__BUS__BLUE",,,,
"ANY__STORE_IN_BIG_STORAGE__THE__BUS__RED_AND_YELLOW",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__A__CAR",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__A__SHOPPING_CART",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__A__SHOPPING_CART__RIGHT",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__THE__CAR__BLUE",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__THE__CAR__PINK",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__THE__CAR__SILVER",,,,
"ANY__STORE_IN_MEDIUM_STORAGE__THE__CAR__YELLOW",,,,
"ANY__STORE_IN_SMALL_STORAGE__ANY",,,,
"ANY__STORE_IN_SMALL_STORAGE__A__BACKPACK",,,,
"ANY__STORE_IN_SMALL_STORAGE__THE__BACKPACK",,,,
"ANY__TRAVEL__A__PARKING_LOT",,,,
"ANY__TRAVEL__THE__HUT",,,,
"A__BACKPACK__MOVE__ANY",,,,
"A__BACKPACK__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"A__BACKPACK__STORE_IN_MEDIUM_STORAGE__A__CAR",,,,
"A__BACKPACK__STORE_IN_MEDIUM_STORAGE__THE__CAR__BLUE",,,,
"A__BACKPACK__STORE_IN_MEDIUM_STORAGE__THE__CAR__YELLOW",,,,
"A__BEANIE__HANG__ANY","Hänge eine Mütze auf!","علّق قبعة",,
"A__BEANIE__HANG__THE__COAT_RACK",,,,
"A__BEANIE__MOVE__ANY",,,,
"A__DRESS__HANG__ANY","Hänge ein Kleid auf!","علّق فستاناً!",,
"A__DRESS__HANG__THE__CLOTHES_LINE",,,,
"A__DRESS__MOVE__ANY",,,,
"A__FRUIT__MOVE__ANY",,,,
"A__FRUIT__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"A__FRUIT__STORE_IN_MEDIUM_STORAGE__A__CAR",,,,
"A__FRUIT__STORE_IN_MEDIUM_STORAGE__THE__CAR__PINK",,,,
"A__FRUIT__STORE_IN_MEDIUM_STORAGE__THE__CAR__RED",,,,
"A__FRUIT__STORE_IN_MEDIUM_STORAGE__THE__CAR__SILVER",,,,
"A__FRUIT__STORE_IN_MEDIUM_STORAGE__THE__CAR__YELLOW",,,,
"A__FRUIT__STORE_IN_SMALL_STORAGE__ANY",,,,
"A__FRUIT__STORE_IN_SMALL_STORAGE__THE__BACKPACK",,,,
"A__HAIR_BRUSH__BRUSH__THE__WOMAN_HAIR_BLONDE",,,,
"A__HAIR_BRUSH__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLONDE",,,,
"A__HAIR_BRUSH__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLONDE",,,,
"A__HAIR_DRYER__DRY__THE__WOMAN_HAIR_BLACK",,,,
"A__HAIR_DRYER__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLACK",,,,
"A__HAIR_DRYER__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLACK",,,,
"A__HAMMER__MOVE__ANY",,,,
"A__HAMMER__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"A__HAMMER__STORE_IN_MEDIUM_STORAGE__A__CAR","Packe einen Hammer in ein Auto!","ضع مطرقة في السيارة!",,
"A__HAMMER__STORE_IN_MEDIUM_STORAGE__THE__CAR__YELLOW","Packe einen Hammer in das gelbe Auto!","ضع مطرقة في سيارة صفراء!",,
"A__KUFIYYEH__HANG__ANY","Hänge ein Kufiya auf!","علق كوفية!",,
"A__KUFIYYEH__HANG__THE__CLOTHES_LINE",,,,
"A__KUFIYYEH__MOVE__ANY",,,,
"A__MELON__MOVE__ANY",,,,
"A__MELON__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"A__MELON__STORE_IN_MEDIUM_STORAGE__A__CAR","Packe eine Melone in ein Auto!","ضع بطيخة في سيارة!",,
"A__MELON__STORE_IN_MEDIUM_STORAGE__THE__CAR__PINK","Packe eine Melone in das pinke Auto!","ضع بطيخة في السيارة الوردية!",,
"A__MELON__STORE_IN_SMALL_STORAGE__ANY","Packe eine Melone ein!","احزم بطيخة!",,
"A__PINEAPPLE__MOVE__ANY",,,,
"A__PINEAPPLE__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"A__PINEAPPLE__STORE_IN_MEDIUM_STORAGE__A__CAR","Packe eine Ananas in ein Auto!","احزم الأناناس في السيارة!",,
"A__PINEAPPLE__STORE_IN_MEDIUM_STORAGE__THE__CAR__YELLOW","Packe eine Ananas in das gelbe Auto!","ضع الأناناس في سيارة صفراء!",,
"A__PINEAPPLE__STORE_IN_SMALL_STORAGE__ANY",,,,
"THE__BACKPACK__MOVE__ANY",,,,
"THE__BACKPACK__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"THE__BACKPACK__STORE_IN_MEDIUM_STORAGE__A__CAR","Packe den Rucksack in ein Auto!","ضع حقيبة الظهر في سيارة!",,
"THE__BACKPACK__STORE_IN_MEDIUM_STORAGE__THE__CAR__BLUE","Packe den Rucksack in das blaue Auto","ضع حقيبة الظهر في السيارة الزرقاء",,
"THE__BACKPACK__STORE_IN_MEDIUM_STORAGE__THE__CAR__PINK","Packe den Rucksack in das pinke Auto!","ضع حقيبة الظهر في السيارة الوردية!",,
"THE__BACKPACK__STORE_IN_MEDIUM_STORAGE__THE__CAR__RED","Packe den Rucksack in das rote Auto!","ضع حقيبة الظهر في السيارة الحمراء!",,
"THE__BACKPACK__STORE_IN_MEDIUM_STORAGE__THE__CAR__SILVER","Packe den Rucksack in das silberne Auto!","ضع الحقيبة في السيارة الفضية!",,
"THE__BACKPACK__STORE_IN_MEDIUM_STORAGE__THE__CAR__YELLOW","Packe den Rucksack in das gelbe Auto!","ضع الحقيبة في السيارة الصفراء!",,
"THE__BANANA__MOVE__ANY",,,,
"THE__BANANA__STORE_IN_SMALL_STORAGE__ANY",,,,
"THE__BANANA__STORE_IN_SMALL_STORAGE__A__CHILD",,,,
"THE__BANANA__STORE_IN_SMALL_STORAGE__THE__BOY","Gib dem Jungen die Banane!","أعط الموزة للفتى!",,
"THE__BANANA__STORE_IN_SMALL_STORAGE__THE__GIRL","Gib dem Mädchen die Banane!","أعط الموزة للفتاة!",,
"THE__CAP__HANG__ANY",,,,
"THE__CAP__HANG__THE__COAT_RACK",,,,
"THE__CAP__MOVE__ANY",,,,
"THE__CAR_KEYS__MOVE__ANY",,,,
"THE__CAR__TRAVEL__A__PARKING_LOT",,,,
"THE__DOG__TRAVEL__THE__HUT",,,,
"THE__FRUIT__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"THE__FRUIT__STORE_IN_MEDIUM_STORAGE__A__CAR",,,,
"THE__FRUIT__STORE_IN_MEDIUM_STORAGE__A__SHOPPING_CART",,,,
"THE__FRUIT__STORE_IN_MEDIUM_STORAGE__A__SHOPPING_CART__RIGHT","Packe die Frucht in den rechten Einkaufswagen!","ضع الفاكهة في عربة التسوق على اليمين!",,
"THE__FRUIT__STORE_IN_MEDIUM_STORAGE__THE__CAR__BLACK",,,,
"THE__FRUIT__STORE_IN_MEDIUM_STORAGE__THE__CAR__BLUE",,,,
"THE__FRUIT__STORE_IN_MEDIUM_STORAGE__THE__CAR__PINK",,,,
"THE__FRUIT__STORE_IN_MEDIUM_STORAGE__THE__CAR__RED",,,,
"THE__FRUIT__STORE_IN_MEDIUM_STORAGE__THE__CAR__WHITE",,,,
"THE__FRUIT__STORE_IN_MEDIUM_STORAGE__THE__CAR__YELLOW",,,,
"THE__FRUIT__STORE_IN_SMALL_STORAGE__ANY",,,,
"THE__FRUIT__STORE_IN_SMALL_STORAGE__A__BACKPACK",,,,
"THE__FRUIT__STORE_IN_SMALL_STORAGE__A__CHILD",,,,
"THE__FRUIT__STORE_IN_SMALL_STORAGE__THE__BACKPACK",,,,
"THE__FRUIT__STORE_IN_SMALL_STORAGE__THE__BOY",,,,
"THE__FRUIT__STORE_IN_SMALL_STORAGE__THE__GIRL",,,,
"THE__HAIR_DRYER__DRY__THE__WOMAN_HAIR_BLACK",,,,
"THE__HAIR_DRYER__STORE_IN_MEDIUM_STORAGE__THE__WOMAN_HAIR_BLACK",,,,
"THE__HAIR_DRYER__STORE_IN_SMALL_STORAGE__THE__WOMAN_HAIR_BLACK",,,,
"THE__HAMMER__MOVE__ANY",,,,
"THE__HAMMER__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"THE__HAMMER__STORE_IN_MEDIUM_STORAGE__A__CAR",,,,
"THE__HAMMER__STORE_IN_MEDIUM_STORAGE__THE__CAR__SILVER",,,,
"THE__HAMMER__STORE_IN_SMALL_STORAGE__ANY",,,,
"THE__HAMMER__STORE_IN_SMALL_STORAGE__A__BACKPACK",,,,
"THE__HAMMER__STORE_IN_SMALL_STORAGE__THE__BACKPACK",,,,
"THE__KEYS__MOVE__ANY",,,,
"THE__MELON__MOVE__ANY",,,,
"THE__MELON__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"THE__MELON__STORE_IN_MEDIUM_STORAGE__A__CAR",,,,
"THE__MELON__STORE_IN_MEDIUM_STORAGE__A__SHOPPING_CART",,,,
"THE__MELON__STORE_IN_MEDIUM_STORAGE__A__SHOPPING_CART__RIGHT",,,,
"THE__MELON__STORE_IN_MEDIUM_STORAGE__THE__CAR__SILVER",,,,
"THE__MELON__STORE_IN_MEDIUM_STORAGE__THE__CAR__YELLOW",,,,
"THE__MELON__STORE_IN_SMALL_STORAGE__ANY",,,,
"THE__MELON__STORE_IN_SMALL_STORAGE__THE__BACKPACK",,,,
"THE__PINEAPPLE__MOVE__ANY",,,,
"THE__PINEAPPLE__STORE_IN_MEDIUM_STORAGE__ANY",,,,
"THE__PINEAPPLE__STORE_IN_MEDIUM_STORAGE__A__CAR",,,,
"THE__PINEAPPLE__STORE_IN_MEDIUM_STORAGE__THE__CAR__BLUE",,,,
"THE__PINEAPPLE__STORE_IN_MEDIUM_STORAGE__THE__CAR__GREEN",,,,
"THE__PINEAPPLE__STORE_IN_MEDIUM_STORAGE__THE__CAR__PINK",,,,
"THE__PINEAPPLE__STORE_IN_MEDIUM_STORAGE__THE__CAR__RED",,,,
"THE__PINEAPPLE__STORE_IN_MEDIUM_STORAGE__THE__CAR__SILVER",,,,
"THE__PINEAPPLE__STORE_IN_MEDIUM_STORAGE__THE__CAR__YELLOW",,,,
"THE__PINEAPPLE__STORE_IN_SMALL_STORAGE__ANY",,,,
"THE__PINEAPPLE__STORE_IN_SMALL_STORAGE__A__BACKPACK",,,,
"THE__PINEAPPLE__STORE_IN_SMALL_STORAGE__THE__BACKPACK",,,,
"THE__KIFE__CUT__THE__KIWI","Schneide die Kiwi mit dem Messer!","قطع الكيوي بسكين!","Lõika kiivi noaga!",
"A__MELON__STORE_IN__A__CAR","Packe eine Melone in ein Auto!","ضع البطيخ في السيارة!","Pane melon autosse!",
"A__MELON__STORE_IN__THE__SUITCASE","Packe eine Melone in den Koffer!","ضع البطيخ في الحقيبة!","Pane melon kohvrisse!",
"THE__POTTED_PLANT__STORE_IN__A__CAR","Packe die Topfplanze in ein Auto!","ضع أصيص النبات في سيارة!","Pane potitaim autosse!",
"THE__SUITCASE__STORE_IN__A__CAR","Packe den Koffer in ein Auto!","ضع الحقيبة في سيارة!","Pane kohver autosse!",
"A__POTTED_PLANT__STORE_IN__A__CAR","Packe eine Topfpflanze in ein Auto!","ضع أصيص النبات في سيارة!","Pane potitaim autosse!",
"A__SUITCASE__STORE_IN__A__CAR","Packe einen Koffer in ein Auto!","ضع الحقيبة في سيارة!","Paki kohver autosse!",
"THE__FAN__STORE_IN__A__CAR","Packe den Ventilator in ein Auto!","احزم المروحة في سيارة!","Paki ventilaator autosse!",
"THE__GLOBE__STORE_IN__A__CAR","Packe den Globus in ein Auto!","احزم الكرة الأرضية في سيارة!","Pakkige maakera autosse!",
"THE__MELON__STORE_IN__A__CAR","Packe die Melone in ein Auto!","احزم البطيخ في سيارة!","Paki melon autosse!",
"THE__MELON__STORE_IN__A__SUITCASE","Packe die Melone in einen Koffer!","احزم البطيخ في حقيبة!","Paki melon kohvrisse!",
"THE__MELON__STORE_IN__THE__SUITCASE","Packe die Melone in den Koffer!","احزم البطيخ في حقيبة!","Pakkige melon kohvrisse!",
"A__FAN__STORE_IN__A__CAR","Packe einen Ventilator in ein Auto!","احزم مروحة في السيارة!","Paki autosse ventilaator!",
"A__GLOBE__STORE_IN__A__CAR","Packe einen Globus in ein Auto!","احزم كرة أرضية في السيارة!","Pakkige gloobus autosse!",
"A__SHOES__STORE_IN__THE__CAR","Packe ein Paar Schuhe in das Auto!","احزم زوجًا من الأحذية في السيارة!","Paki autosse kingapaar!",
"A__SHOES__STORE_IN__THE__SUITCASE","Packe ein Paar Schuhe in den Koffer!","احزم زوجًا من الأحذية في السيارة!","Pakkige kingapaar kohvrisse!",
"A__SUITCASE__STORE_IN__THE__CAR","Packe einen Koffer in das Auto!","احزم حقيبة في السيارة!","Pakkige kohver autosse!",
"A__WATER-BOTTLE__STORE_IN__THE__CAR","Packe eine Wasserflasche in das Auto!","احزم زجاجة ماء في السيارة!","Paki veepudel autosse!",
"A__WATER-BOTTLE__STORE_IN__THE__SUITCASE","Packe eine Wasserflasche in den Koffer!","احزم زجاجة ماء في الحقيبة!","Paki veepudel kohvrisse!",
"THE__SHOES__STORE_IN__A__SUITCASE","Packe die Schuhe in einen Koffer!","احزم الحذاء في الحقيبة!","Paki kingad kohvrisse!",
"THE__SHOES__STORE_IN__THE__CAR","Packe die Schuhe in das Auto!","ضع الحذاء في السيارة!","Pane kingad autosse!",
"THE__SHOES__STORE_IN__THE__SUITCASE","Packe die Schuhe in den Koffer!","ضع الحذاء في الحقيبة!","Paki kingad kohvrisse!",
"THE__SUITCASE__STORE_IN__THE__CAR","Packe den Koffer in das Auto!","ضع الحقيبة في السيارة!","Pane kohver autosse!",
"THE__WATER-BOTTLE__STORE_IN__A__SUITCASE","Packe die Wasserflasche in einen Koffer!","احزم زجاجة الماء في الحقيبة!","Paki veepudel kohvrisse!",
"THE__WATER-BOTTLE__STORE_IN__THE__CAR","Packe die Wasserflasche in das Auto!","احزم زجاجة الماء في السيارة!","Paki veepudel autosse!",
